stage,file,hoseikakudo,,wing
w130-,091218-t01-T004,-0.104,,
w130-,100205-09-T002,2.571,,
w130-,100205-20,-0.311,,
w130-,100205-t03-T003,2.515,,
w130-,100205-t04-T001,-1.209,,
w130-,100208-t01-T001,-2.373,,
w130-,100208-t05-T002,2.411,,
w130-,100209-11,6.405,,
w130-,100209t01-T001,2.93,,
w130-,100302-36,-0.152,,
w130-,100302-47,-0.295,,
w130-,100302-49,1.545,,
w130-,100304-03,1.066,,
w130-,100304-09,4.293,,
w130-,100304-12,2.411,,
w130-,100306-10,-2.159,,
w130-,100306-14,-2.064,,
w130-,100306-21,2.631,,
w130-,100309-16,0.809,,
w130-,100410-18,-3.0736,,
w130-,100928-03,5.841,,
w140-,091218-t03-T001,0,,
w140-,100127-t01-T001,-2.121,,
w140-,100127-t02-T001,-0.398,,
w140-,100128-12,-1.799,,
w140-,100128-17,1.284,,
w140-,100128-t02-T001,0.527,,
w140-,100128-t03-T001,1.826,,
w140-,100203-t13-T001,0.44,,
w140-,100205-t01-T002,1.257,,
w140-,100207-t02-T001,-3.249,,
w150-,100202-t03-T003,-2.217,,
w150-,100203-t14-T002,-1.586,,
w150-,100204-t01-T002,0.19,,
w150-,100205-t06-T002,0.498,,
w150-,100207-03,0.479,,
w150-,100207-t03-T001,-3.983,,
w150-,100207-t04-T003,0.373,,
w150-,100207-t05-T001,0,,
w150-,100208-t03-T002,0.932,,
w150-,100306-16,6.674,,
w165-,090826-t01_T01,3.825,,
w165-,090826-t04_T01,-0.14,,
w165-,090826-t08_T01,-0.924,,
w165-,090828-t01_T01,1.599,,
w165-,090828-t06_T01,-1.575,,
w165-,090901-t03_T01,3.103,,
w165-,090901-t06_T01,-1.356,,
w165-,090901-t08_T01,2.877,,
w165-,090901-t10_T01,1.291,,
w165-,090923-t09_T01,0.287,,
w165-,100309-02,6.17,,
w165-,100309-06,-0.487,,
w165-,100309-10,0.374,,
w165-,100309-28,0.147,,
w165-,100309-32,1.278,,
w165-,100309-36,1.39,,
w165-,100310-23,4.708,,
w165-,100310-27,0.364,,
w165-,100310-31,3.814,,
w165-,100414-14,2.05,,
w165-,100414-17,3.372,,
w165-,100414-20,3.945,,
w165-,100415-11,4.994,,
w165-,100928-07,5.107,,
w210-,090923-t19_T01,0.58,,
w210-,090923-t27_T01,2.253,,
w210-,090923-t32_T01,1.736,,
w210-,090923-t33_T01,4.591,,
w210-,091003-t02_T01,-2.154,,
w210-,091003-t05_T01,1.747,,
w210-,091003-t08_T01,0.161,,
w210-,100309-25,4.841,,
w210-,100309-43,1.536,,
w210-,100309-46,4.443,,
w210-,100310-05,3.415,,
w210-,100405-15,-0.713,,
w210-,100410-11,0.931,,
w210-,100415-02,8.386,,
w210-,100417-41,9.357,,
w210-,100929-03,-0.237,,
w255-,091012-t11_T01,0.879,,
w255-,091012-t12_T01,-0.752,,
w255-,091018-t01_T02,2.598,,
w255-,091018-t04_T01,2.036,,
w255-,091018-t06_T01,1.646,,
w255-,091018-t08_T01,3.002,,
w255-,091114-t01_T01,3.934,,
w255-,091114-t03_T01,1.587,,
w255-,100223-07,1.439,,
w255-,100223-14,7.422,,
w255-,100223-17,7.349,,
w255-,100225-06,5.703,,
w255-,100226-10,1.166,,
w255-,100226-13,3.187,,
w255-,100226-16,4.948,,
w255-,100406-09,4.837,,
w255-,100406-15,4.978,,
w255-,100406-25,7.91,,
w255-,100406-29,3.075,,
w255-,100415-04,3.604,,
w255-,100928-15,1.756,,
w300-,091014-t02_T02,0.139,,
w300-,091014-t04_T01,1.169,,
w300-,091017-t02_T01,2.316,,
w300-,091017-t04_T05,2.453,,
w300-,091017-t06_T03,1.093,,
w300-,091111-t01_T04,2.215,,
w300-,091111-t03_T03,1.736,,
w300-,091111-t04_T09,-1.403,,
w300-,091111-t05_T10,0.618,,
w300-,091111-t06_T01,2.224,,
w300-,100226-19,3.383,,
w300-,100302-03,2.769,,
w300-,100302-18,1.392,,
w300-,100302-21,-1.993,,
w300-,100302-26,2.391,,
w300-,100302-29,5.242,,
w300-,100302-32,5.319,,
w300-,100302-42,1.388,,
w300-,100302-t01-T001,2.182,,
w300-,100406-20,2.872,,
w300-,100410-32,6.779,,
w300-,100410-35,2.651,,
w300-,100410-39,6.192,,
w300-,100410-43,-0.333,,
w300-,101006-05,1.569,,
w345-,100305-15,6.187,,
w345-,100305-17,2.611,,
w345-,100305-19,4.302,,
w345-,100309-49,5.528,,
w345-,100309-51,3.039,,
w345-,100309-53,6.222,,
w345-,100309-55,6.33,,
w345-,100309-57,5.525,,
w345-,100309-61,1.203,,
w345-,100309-63,1.685,,
w345-,100309-66,3.163,,
w345-,100404-02,-0.118,,
w345-,100404-06,5.31,,
w345-,100404-11,9.15,,
w345-,100405-02,2.582,,
w345-,100405-07,3.076,,
w345-,100405-11,1.633,,
w345-,100406-32,4.795,,
w345-,100410-09,2.275,,
